Generacion,Promedio,Mejor
0,-569.918,-7181.06
1,-737.448,-7181.06
2,-566.965,-6377.86
3,-558.746,-7181.06
4,-1264.06,-7181.06
5,249.622,-5858.14
6,278.955,-7196.81
7,-330.877,-7201.73
8,-218.665,-6319.79
9,-504.608,-7201.73
10,-366.411,-7444.86
11,37.2563,-7444.86
12,-891.247,-7444.86
13,-617.214,-5791.21
14,-471.191,-5791.21
15,-552.889,-5630.77
16,-1616.54,-7591.52
17,-2037.78,-7591.52
18,-1095.39,-7366.11
19,-160.689,-6499.92
20,-1291.76,-6499.92
21,-1206.92,-7397.61
22,-1162.13,-7626.96
23,-740.844,-6410.34
24,-384.67,-5512.65
25,303.366,-6185.92
26,-117.035,-6185.92
27,-308.829,-6803.09
28,-638.278,-6803.09
29,-1063.9,-6141.63
30,-1061.78,-6141.63
31,-554.661,-6747.96
32,-18.2099,-7213.54
33,-357.798,-6811.94
34,-970.534,-6141.63
35,-411.443,-6141.63
36,-805.563,-7213.54
37,-303.71,-7255.87
38,475.178,-6850.33
39,-109.456,-6850.33
40,204.836,-6850.33
41,-1750.01,-6850.33
42,-521.686,-6268.6
43,777.018,-6268.6
44,-98.7759,-7461.59
45,-379.109,-6850.33
46,-264.239,-5554.98
47,-333.141,-5554.98
48,-213.35,-5019.51
49,-1349.15,-6343.41
50,-539.306,-6535.35
51,-411.739,-5965.43
52,234.464,-5965.43
53,227.524,-5468.36
54,-611.407,-7548.21
55,-968.368,-7548.21
56,330.139,-5468.36
57,-1472.58,-6918.25
58,-1150.12,-6251.87
59,-1013.89,-6251.87
60,-771.456,-5554.98
61,-1476.52,-5554.98
62,-1515.45,-7296.23
63,-1043.23,-6614.1
64,-802.856,-5067.74
65,-1060.75,-5654.39
66,-739.564,-5280.35
67,-568.589,-5280.35
68,-1372.28,-6960.58
69,-1537.74,-7570.85
70,-1494.43,-6968.45
71,-479.952,-7052.12
72,108.865,-4878.75
73,-588.521,-7745.07
74,572.969,-7745.07
75,586.848,-7745.07
76,-65.6537,-5595.33
77,167.038,-7255.87
78,47.0009,-5233.11
79,-500.278,-5869.96
80,299.182,-6968.45
81,533.203,-4508.65
82,452.932,-5595.33
83,-486.251,-4373.8
84,-429.456,-6488.11
85,-655.258,-7665.35
86,-513.172,-7665.35
87,-335.651,-6488.11
88,-787.353,-6862.15
89,-276.543,-3779.27
90,-370.151,-4090.32
91,-259.711,-3780.26
92,-126.977,-4221.23
93,-7.43163,-3882.63
94,-566.571,-6059.93
95,-11.8609,-5618.96
96,-114.279,-4406.28
97,-384.67,-7011.76
98,-201.243,-7189.92
99,73.2823,-7189.92
