Ciudades_x,Ciudades_y
23,24
1,47
11,71
48,59
1,57
43,30
99,8
15,35
67,45
48,76

MatrizDistancias
0,60,72,33,58,40,84,54,25,12
60,0,45,4,50,24,53,36,48,28
72,45,0,65,81,62,31,85,14,75
33,4,65,0,51,29,30,78,22,64
58,50,81,51,0,1,97,99,19,61
40,24,62,29,1,0,79,99,90,62
84,53,31,30,97,79,0,18,77,75
54,36,85,78,99,99,18,0,65,19
25,48,14,22,19,90,77,65,0,75
12,28,75,64,61,62,75,19,75,0

MejorPorGeneracion
0,1649
1,1566
2,673
3,673
4,673
5,673
6,510
7,510
8,510
9,447
10,447
11,447
12,447
13,447
14,447
15,447
16,447
17,440
18,440
19,440
20,440
21,440
22,440
23,440
24,413
25,413
26,413
27,394
28,394
29,394
30,394
31,394
32,394
33,394
34,394
35,394
36,394
37,394
38,394
39,394
40,394
41,394
42,394
43,394
44,394
45,394
46,394
47,394
48,394
49,394
50,394
51,394
52,394
53,394
54,394
55,394
56,394
57,394
58,394
59,394
60,394
61,394
62,394
63,394
64,394
65,394
66,394
67,394
68,394
69,394
70,394
71,394
72,394
73,394
74,394
75,394
76,394
77,394
78,394
79,394
80,394
81,394
82,394
83,394
84,394
85,394
86,394
87,394
88,394
89,394
90,394
91,394
92,394
93,394
94,394
95,394
96,394
97,394
98,394
99,394
100,394
101,394
102,394
103,394
104,394
105,394
106,394
107,394
108,394
109,394
110,394
111,394
112,394
113,394
114,394
115,394
116,394
117,394
118,394
119,394
120,394
121,394
122,394
123,394
124,394
125,394
126,394
127,394
128,394
129,394
130,394
131,394
132,394
133,394
134,394
135,394
136,394
137,394
138,394
139,394
140,394
141,394
142,394
143,394
144,394
145,394
146,394
147,394
148,394
149,394
150,394
151,394
152,394
153,394
154,394
155,394
156,394
157,394
158,394
159,394
160,394
161,394
162,394
163,394
164,394
165,394
166,394
167,394
168,394
169,394
170,394
171,394
172,394
173,394
174,394
175,394
176,394
177,394
178,394
179,394
180,394
181,394
182,394
183,394
184,394
185,394
186,394
187,394
188,394
189,394
190,394
191,394
192,394
193,394
194,394
195,394
196,394
197,394
198,394
199,394

MejorRecorrido
8,2,3,9,6,7,0,1,5,4,
MejorDistancia,394
